model,transparency,flux_phi0,critical_current_normalized,critical_current_zero_field
AB,0.01,-6.156156156156156,0.00038264570995191565,0.01570758450269403
AB,0.01,-6.136136136136136,0.0003379608687806936,0.01570758450269403
AB,0.01,-6.116116116116116,0.0002916426693700539,0.01570758450269403
AB,0.01,-6.096096096096096,0.00024386317282593694,0.01570758450269403
AB,0.01,-6.076076076076076,0.00019480129860214942,0.01570758450269403
AB,0.01,-6.056056056056056,0.0001446421706867016,0.01570758450269403
AB,0.01,-6.036036036036036,9.357643554682231e-05,0.01570758450269403
AB,0.01,-6.016016016016016,4.179955428913573e-05,0.01570758450269403
AB,0.01,-5.995995995995996,1.0488928394566604e-05,0.01570758450269403
AB,0.01,-5.975975975975976,6.308613582089456e-05,0.01570758450269403
AB,0.01,-5.955955955955956,0.0001157866286774774,0.01570758450269403
AB,0.01,-5.935935935935936,0.00016838318929929502,0.01570758450269403
AB,0.01,-5.915915915915916,0.0002206676179286607,0.01570758450269403
AB,0.01,-5.895895895895896,0.0002724315379648599,0.01570758450269403
AB,0.01,-5.875875875875876,0.00032346720715647825,0.01570758450269403
AB,0.01,-5.8558558558558556,0.00037356833164796014,0.01570758450269403
AB,0.01,-5.8358358358358355,0.000422530879761775,0.01570758450269403
AB,0.01,-5.8158158158158155,0.0004701538923792851,0.01570758450269403
AB,0.01,-5.7957957957957955,0.000516240286776896,0.01570758450269403
AB,0.01,-5.7757757757757755,0.0005605976507795205,0.01570758450269403
AB,0.01,-5.7557557557557555,0.0006030390241108527,0.01570758450269403
AB,0.01,-5.7357357357357355,0.0006433836638493298,0.01570758450269403
AB,0.01,-5.7157157157157155,0.0006814577909401474,0.01570758450269403
AB,0.01,-5.6956956956956954,0.0007170953147668549,0.01570758450269403
AB,0.01,-5.675675675675675,0.0007501385328511099,0.01570758450269403
AB,0.01,-5.655655655655655,0.0007804388028256866,0.01570758450269403
AB,0.01,-5.635635635635635,0.0008078571839137272,0.01570758450269403
AB,0.01,-5.615615615615615,0.0008322650452461288,0.01570758450269403
AB,0.01,-5.595595595595595,0.000853544638458708,0.01570758450269403
AB,0.01,-5.575575575575575,0.0008715896321308251,0.01570758450269403
AB,0.01,-5.555555555555555,0.0008863056057572887,0.01570758450269403
AB,0.01,-5.535535535535535,0.0008976105010850271,0.01570758450269403
AB,0.01,-5.515515515515515,0.0009054350287948055,0.01570758450269403
AB,0.01,-5.495495495495495,0.0009097230286656299,0.01570758450269403
AB,0.01,-5.475475475475475,0.0009104317815249282,0.01570758450269403
AB,0.01,-5.455455455455455,0.0009075322714604868,0.01570758450269403
AB,0.01,-5.435435435435435,0.000901009396949887,0.01570758450269403
AB,0.01,-5.415415415415415,0.000890862129749189,0.01570758450269403
AB,0.01,-5.395395395395395,0.0008771036205741594,0.01570758450269403
AB,0.01,-5.375375375375375,0.0008597612508037586,0.01570758450269403
AB,0.01,-5.355355355355355,0.0008388766296362168,0.01570758450269403
AB,0.01,-5.335335335335335,0.0008145055363320061,0.01570758450269403
AB,0.01,-5.315315315315315,0.0007867178073847472,0.01570758450269403
AB,0.01,-5.295295295295295,0.0007555971686696801,0.01570758450269403
AB,0.01,-5.275275275275275,0.0007212410128290989,0.01570758450269403
AB,0.01,-5.255255255255255,0.0006837601223642456,0.01570758450269403
AB,0.01,-5.235235235235235,0.0006432783391128913,0.01570758450269403
AB,0.01,-5.215215215215215,0.0005999321810002249,0.01570758450269403
AB,0.01,-5.195195195195195,0.0005538704071572006,0.01570758450269403
AB,0.01,-5.175175175175175,0.0005052535327040917,0.01570758450269403
AB,0.01,-5.155155155155155,0.000454253294697097,0.01570758450269403
AB,0.01,-5.135135135135135,0.0004010520709315216,0.01570758450269403
AB,0.01,-5.115115115115115,0.0003458422534857077,0.01570758450269403
AB,0.01,-5.095095095095095,0.00028882557907451126,0.01570758450269403
AB,0.01,-5.075075075075075,0.00023021241845934076,0.01570758450269403
AB,0.01,-5.055055055055055,0.0001702210273325359,0.01570758450269403
AB,0.01,-5.035035035035035,0.000109076761256693,0.01570758450269403
AB,0.01,-5.015015015015015,4.7011257393750066e-05,0.01570758450269403
AB,0.01,-4.994994994994995,1.573841409652904e-05,0.01570758450269403
AB,0.01,-4.974974974974975,7.89306259739827e-05,0.01570758450269403
AB,0.01,-4.954954954954955,0.00014232009401215397,0.01570758450269403
AB,0.01,-4.934934934934935,0.00020565879801631384,0.01570758450269403
AB,0.01,-4.914914914914915,0.00026869692041051773,0.01570758450269403
AB,0.01,-4.894894894894895,0.00033118379894865477,0.01570758450269403
AB,0.01,-4.874874874874875,0.00039286889002668846,0.01570758450269403
AB,0.01,-4.854854854854855,0.0004535027390081293,0.01570758450269403
AB,0.01,-4.834834834834835,0.0005128379539227687,0.01570758450269403
AB,0.01,-4.814814814814815,0.0005706301788599064,0.01570758450269403
AB,0.01,-4.794794794794795,0.0006266390633521604,0.01570758450269403
AB,0.01,-4.774774774774775,0.0006806292240344132,0.01570758450269403
AB,0.01,-4.754754754754755,0.0007323711948648195,0.01570758450269403
AB,0.01,-4.734734734734735,0.0007816423622111448,0.01570758450269403
AB,0.01,-4.714714714714715,0.0008282278811359135,0.01570758450269403
AB,0.01,-4.694694694694695,0.0008719215692580465,0.01570758450269403
AB,0.01,-4.674674674674675,0.0009125267746267604,0.01570758450269403
AB,0.01,-4.654654654654655,0.0009498572141152417,0.01570758450269403
AB,0.01,-4.634634634634635,0.0009837377789269639,0.01570758450269403
AB,0.01,-4.614614614614615,0.0010140053039062018,0.01570758450269403
AB,0.01,-4.594594594594595,0.0010405092974559759,0.01570758450269403
AB,0.01,-4.574574574574575,0.0010631126289910836,0.01570758450269403
AB,0.01,-4.554554554554555,0.0010816921709906452,0.01570758450269403
AB,0.01,-4.534534534534535,0.0010961393928632204,0.01570758450269403
AB,0.01,-4.514514514514515,0.0011063609039976467,0.01570758450269403
AB,0.01,-4.494494494494495,0.001112278943543752,0.01570758450269403
AB,0.01,-4.474474474474475,0.0011138318146484206,0.01570758450269403
AB,0.01,-4.454454454454455,0.0011109742610635842,0.01570758450269403
AB,0.01,-4.434434434434435,0.0011036777842428917,0.01570758450269403
AB,0.01,-4.414414414414415,0.0010919308992524087,0.01570758450269403
AB,0.01,-4.394394394394395,0.0010757393280369954,0.01570758450269403
AB,0.01,-4.374374374374375,0.001055126128807275,0.01570758450269403
AB,0.01,-4.354354354354355,0.0010301317605415105,0.01570758450269403
AB,0.01,-4.334334334334335,0.0010008140818315065,0.01570758450269403
AB,0.01,-4.314314314314315,0.0009672482835409815,0.01570758450269403
AB,0.01,-4.2942942942942945,0.0009295267549878389,0.01570758450269403
AB,0.01,-4.2742742742742745,0.0008877588836075897,0.01570758450269403
AB,0.01,-4.2542542542542545,0.0008420707883029201,0.01570758450269403
AB,0.01,-4.2342342342342345,0.0007926049869331259,0.01570758450269403
AB,0.01,-4.2142142142142145,0.000739519998646017,0.01570758450269403
AB,0.01,-4.1941941941941945,0.0006829898820029778,0.01570758450269403
AB,0.01,-4.1741741741741745,0.0006232037100941602,0.01570758450269403
AB,0.01,-4.1541541541541545,0.0005603649840845528,0.01570758450269403
AB,0.01,-4.134134134134134,0.0004946909868717728,0.01570758450269403
AB,0.01,-4.114114114114114,0.0004264120787721868,0.01570758450269403
AB,0.01,-4.094094094094094,0.0003557709373822503,0.01570758450269403
AB,0.01,-4.074074074074074,0.0002830217439861301,0.01570758450269403
AB,0.01,-4.054054054054054,0.0002084293190977072,0.01570758450269403
AB,0.01,-4.034034034034034,0.0001322682099340992,0.01570758450269403
AB,0.01,-4.014014014014014,5.4821732818234665e-05,0.01570758450269403
AB,0.01,-3.9939939939939944,2.361902630118492e-05,0.01570758450269403
AB,0.01,-3.9739739739739743,0.00010275624984356886,0.01570758450269403
AB,0.01,-3.9539539539539543,0.00018228646156588426,0.01570758450269403
AB,0.01,-3.9339339339339343,0.0002619016308116518,0.01570758450269403
AB,0.01,-3.9139139139139143,0.000341290304198189,0.01570758450269403
AB,0.01,-3.8938938938938943,0.00042013876076838234,0.01570758450269403
AB,0.01,-3.8738738738738743,0.0004981321865144833,0.01570758450269403
AB,0.01,-3.8538538538538543,0.0005749558640767776,0.01570758450269403
AB,0.01,-3.8338338338338342,0.0006502963733297805,0.01570758450269403
AB,0.01,-3.8138138138138142,0.0007238427984934605,0.01570758450269403
AB,0.01,-3.7937937937937942,0.000795287937347273,0.01570758450269403
AB,0.01,-3.773773773773774,0.0008643295080806021,0.01570758450269403
AB,0.01,-3.753753753753754,0.0009306713492851219,0.01570758450269403
AB,0.01,-3.733733733733734,0.000994024608582538,0.01570758450269403
AB,0.01,-3.713713713713714,0.0010541089153855551,0.01570758450269403
AB,0.01,-3.693693693693694,0.0011106535333105913,0.01570758450269403
AB,0.01,-3.673673673673674,0.0011633984877979233,0.01570758450269403
AB,0.01,-3.653653653653654,0.0012120956645485853,0.01570758450269403
AB,0.01,-3.633633633633634,0.001256509874457198,0.01570758450269403
AB,0.01,-3.613613613613614,0.0012964198808060451,0.01570758450269403
AB,0.01,-3.593593593593594,0.00133161938458782,0.01570758450269403
AB,0.01,-3.573573573573573,0.0013619179639422858,0.01570758450269403
AB,0.01,-3.553553553553553,0.0013871419638253023,0.01570758450269403
AB,0.01,-3.533533533533533,0.0014071353321770264,0.01570758450269403
AB,0.01,-3.513513513513513,0.0014217603990188548,0.01570758450269403
AB,0.01,-3.493493493493493,0.001430898595085766,0.01570758450269403
AB,0.01,-3.473473473473473,0.001434451106791218,0.01570758450269403
AB,0.01,-3.453453453453453,0.0014323394645253125,0.01570758450269403
AB,0.01,-3.433433433433433,0.001424506061502813,0.01570758450269403
AB,0.01,-3.413413413413413,0.0014109146006051074,0.01570758450269403
AB,0.01,-3.393393393393393,0.0013915504668986405,0.01570758450269403
AB,0.01,-3.373373373373373,0.0013664210237608674,0.01570758450269403
AB,0.01,-3.353353353353353,0.0013355558308026374,0.01570758450269403
AB,0.01,-3.333333333333333,0.0012990067820422126,0.01570758450269403
AB,0.01,-3.313313313313313,0.0012568481630599385,0.01570758450269403
AB,0.01,-3.293293293293293,0.0012091766261430584,0.01570758450269403
AB,0.01,-3.273273273273273,0.0011561110827162631,0.01570758450269403
AB,0.01,-3.253253253253253,0.0010977925126443896,0.01570758450269403
AB,0.01,-3.233233233233233,0.0010343836902881047,0.01570758450269403
AB,0.01,-3.213213213213213,0.0009660688274905626,0.01570758450269403
AB,0.01,-3.193193193193193,0.0008930531339717669,0.01570758450269403
AB,0.01,-3.173173173173173,0.0008155622959065919,0.01570758450269403
AB,0.01,-3.153153153153153,0.000733841873761256,0.01570758450269403
AB,0.01,-3.133133133133133,0.0006481566207602613,0.01570758450269403
AB,0.01,-3.113113113113113,0.000558789723650339,0.01570758450269403
AB,0.01,-3.093093093093093,0.0004660419677188891,0.01570758450269403
AB,0.01,-3.073073073073073,0.00037023082831055685,0.01570758450269403
AB,0.01,-3.053053053053053,0.00027168949136586784,0.01570758450269403
AB,0.01,-3.033033033033033,0.0001707658057794444,0.01570758450269403
AB,0.01,-3.013013013013013,6.782117064102605e-05,0.01570758450269403
AB,0.01,-2.992992992992993,3.67706393206883e-05,0.01570758450269403
AB,0.01,-2.972972972972973,0.00014262470652417353,0.01570758450269403
AB,0.01,-2.952952952952953,0.0002493462577477013,0.01570758450269403
AB,0.01,-2.932932932932933,0.00035653200174014563,0.01570758450269403
AB,0.01,-2.9129129129129128,0.00046377151298952144,0.01570758450269403
AB,0.01,-2.8928928928928928,0.0005706486572097995,0.01570758450269403
AB,0.01,-2.8728728728728727,0.000676743053921716,0.01570758450269403
AB,0.01,-2.8528528528528527,0.0007816315713334043,0.01570758450269403
AB,0.01,-2.8328328328328327,0.0008848898485721584,0.01570758450269403
AB,0.01,-2.8128128128128127,0.000986093840180377,0.01570758450269403
AB,0.01,-2.7927927927927927,0.0010848213776673294,0.01570758450269403
AB,0.01,-2.7727727727727727,0.0011806537428041169,0.01570758450269403
AB,0.01,-2.7527527527527527,0.0012731772472627826,0.01570758450269403
AB,0.01,-2.7327327327327327,0.0013619848131323849,0.01570758450269403
AB,0.01,-2.7127127127127126,0.0014466775487950796,0.01570758450269403
AB,0.01,-2.6926926926926926,0.0015268663146144276,0.01570758450269403
AB,0.01,-2.6726726726726726,0.0016021732728764171,0.01570758450269403
AB,0.01,-2.6526526526526526,0.0016722334164310626,0.01570758450269403
AB,0.01,-2.6326326326326326,0.001736696070509201,0.01570758450269403
AB,0.01,-2.6126126126126126,0.0017952263622352637,0.01570758450269403
AB,0.01,-2.5925925925925926,0.0018475066524221322,0.01570758450269403
AB,0.01,-2.5725725725725725,0.0018932379243188362,0.01570758450269403
AB,0.01,-2.5525525525525525,0.001932141124085436,0.01570758450269403
AB,0.01,-2.5325325325325325,0.0019639584478918838,0.01570758450269403
AB,0.01,-2.5125125125125125,0.0019884545706784886,0.01570758450269403
AB,0.01,-2.4924924924924925,0.0020054178117745974,0.01570758450269403
AB,0.01,-2.4724724724724725,0.0020146612327487444,0.01570758450269403
AB,0.01,-2.4524524524524525,0.002016023663057295,0.01570758450269403
AB,0.01,-2.4324324324324325,0.0020093706492689835,0.01570758450269403
AB,0.01,-2.4124124124124124,0.001994595323869088,0.01570758450269403
AB,0.01,-2.3923923923923924,0.00197161918988859,0.01570758450269403
AB,0.01,-2.3723723723723724,0.0019403928178598328,0.01570758450269403
AB,0.01,-2.3523523523523524,0.0019008964518700737,0.01570758450269403
AB,0.01,-2.3323323323323324,0.0018531405217671287,0.01570758450269403
AB,0.01,-2.3123123123123124,0.0017971660588660808,0.01570758450269403
AB,0.01,-2.2922922922922924,0.0017330450128118966,0.01570758450269403
AB,0.01,-2.2722722722722724,0.0016608804675686839,0.01570758450269403
AB,0.01,-2.2522522522522523,0.0015808067548313243,0.01570758450269403
AB,0.01,-2.2322322322322323,0.0014929894634881536,0.01570758450269403
AB,0.01,-2.2122122122122123,0.0013976253441032056,0.01570758450269403
AB,0.01,-2.1921921921921923,0.0012949421077321853,0.01570758450269403
AB,0.01,-2.1721721721721723,0.0011851981187365654,0.01570758450269403
AB,0.01,-2.1521521521521523,0.0010686819816138758,0.01570758450269403
AB,0.01,-2.1321321321321323,0.0009457120222182856,0.01570758450269403
